feature,importance,std
temp_spread_mean,0.06267373845946782,0.0036218107891654197
soc__slope,0.008167171716240743,0.0044552746333046366
soc__std,0.006032353291829569,0.002390217876682523
timestamp__range,0.004779385271661589,0.0027856397730328377
timestamp__slope,0.004486424224213155,0.003196377899201734
min_single_volt__range,0.0044601878252411575,0.0025323648267708
timestamp__q10,0.0044601878252411575,0.0025323648267708
timestamp__std,0.003288627966950767,0.0027959505291707703
current__min,0.0026777584418413714,0.004508793204773503
max_temp__slope,0.0026695354837932284,0.0025323648267707994
max_single_volt__range,0.002376574436344795,0.0027629163464794257
soc__energy,0.0017717538148074308,0.0025056382740869373
timestamp__max,0.0011540809407628583,0.00807566052129119
timestamp__delta,0.0009034162794135195,0.005138037865722966
current__q10,0.0005410063050892052,0.0024308579770018377
temp_current_corr,0.0002912577855446556,0.004751538592090246
min_temp__delta,0.0002912577855446556,0.004751538592090246
volt_current_corr,0.0002912577855446556,0.004751538592090246
soc__median,0.00024789011707175107,0.009137346110150707
max_single_volt__max,0.0,0.0
max_single_volt__min,0.0,0.0
volt__mean,0.0,0.0
current__iqr,0.0,0.0
volt__max,0.0,0.0
volt__q90,0.0,0.0
min_temp__iqr,0.0,0.0
min_temp__range,0.0,0.0
max_temp__range,0.0,0.0
min_temp__slope,-0.0012257967446857772,0.0023821789521757475
soc__delta,-0.0012275000065895547,0.005298591276659403
timestamp__mean,-0.0012275000065895547,0.005298591276659403
current__median,-0.0012904955264126199,0.002843356199137819
current__delta,-0.0017923556033517067,0.002534773602855395
volt__q10,-0.0017923556033517067,0.002534773602855395
volt__min,-0.0017923556033517067,0.002534773602855395
min_single_volt__energy,-0.0017923556033517067,0.002534773602855395
max_temp__iqr,-0.0017923556033517067,0.002534773602855395
max_single_volt__iqr,-0.0017923556033517067,0.002534773602855395
max_single_volt__median,-0.0017923556033517067,0.002534773602855395
max_single_volt__q10,-0.0017923556033517067,0.002534773602855395
soc__mean,-0.001833920615326982,0.006712431318524468
current__q90,-0.0018844354104470273,0.0025901347296210437
max_temp__q90,-0.0021645474552649535,0.002809230300120078
timestamp__q90,-0.0030197523352375466,0.005513503167146569
volt__range,-0.0030408188333722608,0.007049843620085032
volt__delta,-0.003311113395485917,0.002365167986071528
soc__range,-0.003311113395485917,0.002365167986071528
timestamp__energy,-0.003311113395485917,0.002365167986071528
min_single_volt__delta,-0.003314416644589757,0.00711893648547345
soc__min,-0.0035847112067034135,0.002534773602855395
volt__median,-0.0035847112067034135,0.002534773602855395
max_temp__delta,-0.0035847112067034135,0.002534773602855395
max_temp__std,-0.0035847112067034135,0.002534773602855395
min_single_volt__min,-0.0036056744301344126,0.005099193680597967
max_single_volt__energy,-0.0036056744301344126,0.005099193680597967
soc__q10,-0.0036056744301344126,0.005099193680597967
soc__q90,-0.0036056744301344126,0.005099193680597967
volt__energy,-0.0036056744301344126,0.005099193680597967
min_temp__q90,-0.0036906286030980637,0.005207463857109265
current__energy,-0.004276161331584705,0.0003961382527655714
current__max,-0.004277818799305518,0.00483535123703246
max_temp__q10,-0.004277818799305518,0.00483535123703246
volt__std,-0.0045777138360426255,0.004464071551483664
min_single_volt__slope,-0.0045777138360426255,0.004464071551483664
max_single_volt__slope,-0.004873978132594899,0.007872571389102617
max_temp__energy,-0.004995649761831607,0.0030268380600535407
current__std,-0.005105068986037686,0.0047787058173460045
timestamp__median,-0.005124432222268623,0.0044342681900461966
min_single_volt__q90,-0.00537706681005512,0.0
current__range,-0.00537706681005512,0.0
current__slope,-0.00537706681005512,0.0
soc__max,-0.005398030033486119,0.004416056144633579
min_single_volt__iqr,-0.005398030033486119,0.004416056144633579
timestamp__min,-0.005398030033486119,0.004416056144633579
soc__iqr,-0.005398030033486119,0.004416056144633579
min_single_volt__q10,-0.005398030033486119,0.004416056144633579
min_temp__std,-0.005398030033486119,0.004416056144633579
max_single_volt__mean,-0.005398030033486119,0.004416056144633579
min_single_volt__mean,-0.005398030033486119,0.004416056144633579
min_temp__energy,-0.0058292085859894165,0.002988616995716585
min_temp__min,-0.0058292085859894165,0.002988616995716585
max_temp__min,-0.0058292085859894165,0.0029886169957165855
volt__iqr,-0.006643190014402833,0.0029513458130019494
min_single_volt__std,-0.006664630474042828,0.005343115946785335
max_single_volt__std,-0.006664630474042828,0.005343115946785335
volt__slope,-0.006957591521491262,0.004929566823813097
max_single_volt__delta,-0.006962387460823227,0.009609558473302549
min_single_volt__max,-0.007190385636837826,0.002564420077742572
max_single_volt__q90,-0.007190385636837826,0.002564420077742572
min_single_volt__median,-0.007232682022936883,0.006790977929326072
min_temp__max,-0.007917617914217745,0.005942073791483571
current__mean,-0.00794247993002998,0.0029886169957165855
min_temp__mean,-0.00794247993002998,0.002988616995716585
max_temp__median,-0.00794247993002998,0.002988616995716585
timestamp__iqr,-0.009003704463620532,0.002564420077742572
max_temp__max,-0.00953762719537532,0.004863611786446397
max_temp__mean,-0.011391063180547834,0.0029908042736242883
min_temp__q10,-0.012144160602298873,0.0029534567957669863
min_temp__median,-0.014232569930527203,0.0029534567957669863
