sample_id,label,prediction,anomaly_probability,feature,value,train_median,train_std,zscore,global_importance,weighted_score
27733,1,1,1.0,temp_spread_mean,18.0,12.0,7.3053228329919895,0.8213189392401735,0.06267373845946782,0.051475128389746175
27733,1,1,1.0,min_temp__median,228.0,162.0,53.39487930461746,1.2360735871968247,0.014232569930527203,0.01759250376905642
27733,1,1,1.0,min_temp__q10,228.0,162.0,53.10445650801654,1.2428335461833937,0.012144160602298873,0.015093170186775766
27733,1,1,1.0,max_temp__mean,246.0,179.109375,55.85654993645012,1.1975430827020952,0.011391063180547834,0.013641288916487585
27733,1,1,1.0,max_temp__max,246.0,180.0,56.357989001271086,1.1710850789674458,0.00953762719537532,0.011169372897258166
27733,1,1,1.0,min_temp__mean,228.0,162.0,53.34413250965346,1.23724947608917,0.00794247993002998,0.00982682913227834
27733,1,1,1.0,min_temp__max,228.0,162.0,53.800964203772565,1.2267438135499442,0.007917617914217745,0.009712888794318832
27733,1,1,1.0,min_temp__energy,51984.0,26244.0,15895.97592481673,1.619277741847534,0.0058292085859894165,0.009439107715879198
27733,1,1,1.0,max_temp__median,246.0,180.0,55.901768185064206,1.1806424401730076,0.00794247993002998,0.009377228885615735
27733,1,1,1.0,max_temp__energy,60516.0,32142.796875,18296.400963079304,1.550753242796487,0.004995649761831607,0.007747020068035862
2081,1,1,1.0,temp_spread_mean,17.25,12.0,7.3053228329919895,0.7186540718351518,0.06267373845946782,0.045040737341027905
2081,1,1,1.0,min_temp__median,222.0,162.0,53.39487930461746,1.1237032610880224,0.014232569930527203,0.015993185244596746
2081,1,1,1.0,min_temp__q10,222.0,162.0,53.10445650801654,1.1298486783485397,0.012144160602298873,0.013721063806159789
2081,1,1,1.0,max_temp__mean,239.25,179.109375,55.85654993645012,1.0766978101659341,0.011391063180547834,0.012264732781957654
2081,1,1,1.0,max_single_volt__q90,1.664,1.7719999999999998,0.07182149598619096,-1.5037280763514715,0.007190385636837826,0.010812384761907394
2081,1,1,1.0,min_single_volt__max,1.661,1.764,0.0702943164633269,-1.465267822239027,0.007190385636837826,0.01053584070314814
2081,1,1,1.0,max_temp__max,240.0,180.0,56.357989001271086,1.0646227990613144,0.00953762719537532,0.010153975361143788
2081,1,1,1.0,min_single_volt__median,1.66,1.754,0.0687411417087493,-1.3674489201571678,0.007232682022936883,0.0098903232221052
2081,1,1,1.0,min_temp__mean,222.0,162.0,53.34413250965346,1.1247722509901543,0.00794247993002998,0.008933481029343944
2081,1,1,1.0,min_temp__max,222.0,162.0,53.800964203772565,1.1152216486817677,0.007917617914217745,0.008829898903926213
26687,1,1,1.0,min_single_volt__max,1.629,1.764,0.0702943164633269,-1.9204966602162008,0.007190385636837826,0.013809111601213585
26687,1,1,1.0,max_single_volt__q90,1.635,1.7719999999999998,0.07182149598619096,-1.9075069116680698,0.007190385636837826,0.01371571029982697
26687,1,1,1.0,min_single_volt__median,1.626,1.754,0.0687411417087493,-1.8620581040438031,0.007232682022936883,0.013467674174781551
26687,1,1,1.0,soc__max,20.3,45.7,12.288760834596385,-2.066929313856587,0.005398030033486119,0.011157346513290714
26687,1,1,1.0,min_single_volt__q90,1.628,1.761,0.06991366706855451,-1.9023462160779752,0.00537706681005512,0.010229042699706826
26687,1,1,1.0,min_single_volt__mean,1.6256328125,1.7541601562500002,0.06866797627760109,-1.8717217357681886,0.005398030033486119,0.010103610144005452
26687,1,1,1.0,max_single_volt__mean,1.634140625,1.7645859375,0.07031901930213867,-1.8550502238877595,0.005398030033486119,0.010013616822171275
26687,1,1,1.0,min_single_volt__q10,1.624,1.746,0.06863107999965064,-1.777620285162654,0.005398030033486119,0.009595647687442165
26687,1,1,1.0,temp_spread_mean,12.984375,12.0,7.3053228329919895,0.13474763846909096,0.06267373845946782,0.00844513825144273
26687,1,1,1.0,soc__q90,20.3,45.7,12.288978878119712,-2.066892640300994,0.0036056744301344126,0.007452541942966299
21595,0,0,0.00015782828282828284,min_temp__median,54.0,162.0,53.39487930461746,-2.0226658699584403,0.014232569930527203,0.028787733440274143
